area	location	timepoint	date	measurer	waves	sun	rain	temp	st.obs	end.obs	visibility	type	MF_fin	MF_approach	MF_hook	MF_glow	MF_HG	MF_finNR	MF_lead	MF_Lnest	MF_foll	MF_nest	MF_FN	MF_leadNR	M&F_fin	M&F_hook	M&F_glow	M&F_HG	M&F_finNR	M&F_lead	M&F_Lhook	M&F_follow	M&F_nest	M&F_leadNR	MM_fin	MM_fin	MM_retreat	MM_NR	MM_chase	MM_chase	MM_Cretreat	MM_CNR	FM_hook	FM_hookA	FM_hookAF	FM_hookAFL	FM_hookAFLN	FM_hookNR	FM_glow	FM_glowA	FM_glowAF	FM_glowAFL	FM_glowAFLN	FM_glowNR	FM_HG	FM_HGA	FM_HGAF	FM_HGAFL	FM_HGAFLN	FM_HGNR	FF_hook	FF_glow	FF_HG	FF_hook	FF_glow	FF_HG	FF_NR
Austevoll	Tipatiskaeret	1	08.05.2022	TA	0	N	N	9.5	18:34	18:48	good	transect	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	1	10	6	0	3	0	0	0	3
Austevoll	Tipatiskaeret	1	08.05.2022	TA	0	N	N	9.5	19:32	19:45	good	transect	1	0	0	0	1	0	0	1	0	0	1	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	4	1	0	2	0	0	0	3
Austevoll	Tipatiskaeret	1	08.05.2022	CA	0	N	N	9.5	18:36	18:57	good	transect	3	0	0	0	0	3	3	0	2	0	0	1	2	1	1	0	0	3	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0
Austevoll	Tipatiskaeret	1	08.05.2022	CA	0	N	N	9.5	19:33	19:50	good	transect	4	0	1	1	0	2	2	0	2	0	0	0	1	0	0	1	0	2	1	1	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	2	1	1	0	0	0	0	4	0	1	0	0	2	0	0	0	0	0	0	0
Austevoll	Lamoya	1	09.05.2022	TA	30	N	N		12:59	13:13	medium	transect	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	2	1	0	0	0	0	0	1
Austevoll	Lamoya	1	09.05.2022	TA	30	N	N		13:44	13:56	medium	transect	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	1	0	0	1
Austevoll	Lamoya	1	09.05.2022	CA	50	Y	N		13:02	13:20	medium	transect	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	2	0	0	2	0	0	1	1
Austevoll	Lamoya	1	09.05.2022	CA	50	Y	N		13:47	14:00	medium	transect	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	2	0	0	3	0	0	2	1
Austevoll	Krabbavika	1	10.05.2022	CA	15	N	Y	8.3	12:05	12:23	good	transect	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	2	0	0	1	1
Austevoll	Krabbavika	1	10.05.2022	CA	15	N	Y	8.3	12:54	13:07	good	transect	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	1	0	0	1	0
