area	location	timepoint	date	measurer	waves	sun	rain	temp	st.obs	end.obs	visibility	replicate	m	f1	f2	f3	fu	u
Arendal	Sven Johnsens	1	06.05.2022	IM	0	Y	N	8	09:41	09:55	bad	1	26	15	18	17	0	0
Arendal	Sven Johnsens	1	06.05.2022	IM	0	Y	N	8	09:59	10:14	bad	2	58	10	43	28	0	0
Arendal	Langrumpa	1	07.05.2022	IM	0	Y	N	8	09:30	09:42	good	1	35	49	44	26	0	0
Arendal	Langrumpa	1	07.05.2022	IM	0	Y	N	8	09:45	09:57	good	2	30	36	51	35	0	0
Arendal	Badstuholmen	1	08.05.2022	IM	25	Y	N	8	10:36	10:48	medium	1	35	34	38	26	0	0
Arendal	Badstuholmen	1	08.05.2022	IM	25	Y	N	8	10:17	10:33	medium	2	46	34	52	22	0	0
Arendal	St Helena	1	09.05.2022	IM	0	Y	N		11:41	11:57	good	1	43	76	103	47	0	0
Arendal	St Helena	1	09.05.2022	IM	0	Y	N		12:00	12:22	good	2	50	106	122	58	0	0
Arendal	Tvillingeholmen	1	10.05.2022	IM	10	N	Y	8.8	11:40	13:20	good	1	106	105	130	54	0	0
Arendal	St Helena	2	16.06.2022	IM	0	Y	N	15.7	10:20	10:39	medium	1	31	60	125	120	0	0
Arendal	Langrumpa	2	18.06.2022	IM	0	Y	N	15.5	09:46	10:05	medium	1	47	87	112	128	0	0
Arendal	Sven Johnsens	2	19.06.2022	IM	0	Y	N	13.2	09:45	10:00	medium	1	7	40	50	32	0	0
Arendal	Sven Johnsens	2	19.06.2022	IM	0	Y	N	13.2	10:01	10:17	medium	2	6	41	51	49	0	0
Arendal	Tvillingeholmen	2	20.06.2022	IM	10	Y	N	14	09:50	10:11	medium	1	22	180	155	90	0	0
Arendal	Badstuholmen	2	23.06.2022	IM	0	Y	N	14.6	10:22	10:38	good	1	27	67	83	70	0	0
Arendal	Badstuholmen	2	23.06.2022	IM	0	Y	N	14.6	09:59	10:17	good	2	34	68	82	62	0	0
Arendal	Sven Johnsens	3	20.07.2022	IM	0	Y	N	16.6	09:33	09:48	bad	1	3	29	20	7	0	0
Arendal	Sven Johnsens	3	20.07.2022	IM	0	Y	N	16.6	09:49	10:02	bad	2	5	23	12	12	0	0
Arendal	Langrumpa	3	21.07.2022	IM	0	N	N	17.7	09:26	09:40	good	1	33	69	41	18	0	0
Arendal	Langrumpa	3	21.07.2022	IM	0	N	N	17.7	09:41	09:52	good	2	32	49	26	16	0	0
Arendal	Badstuholmen	3	23.07.2022	IM	20	N	N	17.7	09:20	09:30	good	1	4	5	7	4	0	0
Arendal	Badstuholmen	3	23.07.2022	IM	20	N	N	17.7	09:31	09:41	good	2	4	4	3	8	0	0
Arendal	St Helena	3	19.07.2022	IM	0	Y	N	17.3	10:34	10:46	good	1	8	14	10	6	0	0
Arendal	St Helena	3	19.07.2022	IM	0	Y	N	17.3	10:48	10:58	good	2	14	13	8	7	0	0
Arendal	Tvillingeholmen	3	22.07.2022	IM	0	N	N	17.9	09:18	09:27	bad	1	2	23	16	9	0	0
Arendal	Tvillingeholmen	3	22.07.2022	IM	0	N	N	17.9	09:28	09:40	bad	2	8	29	14	9	0	0
Helligvaer	Store-kvannoya	1	21.05.2022	TA	0	Y	N	7.5	10:01	10:18	good	1	17	1	3	1	0	0
Helligvaer	Store-kvannoya	1	21.05.2022	TA	0	Y	N	7.5	10:19	10:37	good	2	21	1	3	2	0	0
Helligvaer	Litj-sorroy	1	22.05.2022	TA	10	N	N	7.4	10:35	10:57	good	1	30	6	53	30	0	0
Helligvaer	Litj-sorroy	1	22.05.2022	TA	10	N	N	7.4	10:58	11:14	good	2	30	8	42	27	0	0
Helligvaer	Gudmunholmen	1	23.05.2022	TA	0	Y	N	7.5	13:22	13:47	good	1	14	5	10	2	0	0
